Oregon|9437540|Garibaldi, OR
Oregon|9439040|Astoria, OR
Oregon|9439099|Wauna, OR
Oregon|9439201|St Helens, OR
Pacific Islands|1619910|Sand Island, Midway Islands, United States of America
Pacific Islands|1630000|Apra Harbor, Guam, United States of America
Pacific Islands|1631428|Pago Bay, Guam, United States of America
Pacific Islands|1770000|Pago Pago, American Samoa, American Samoa
Pacific Islands|1820000|Kwajalein, Marshall Islands, United States of America
Pacific Islands|1890000|Wake Island, Pacific Ocean, United States of America
Pennsylvania|8540433|Marcus Hook, PA
Pennsylvania|8545240|Philadelphia, PA
Pennsylvania|8546252|Bridesburg, PA
Pennsylvania|8548989|Newbold, PA
Rhode Island|8452660|Newport, RI
Rhode Island|8452944|Conimicut Light, RI
Rhode Island|8454000|Providence, RI
Rhode Island|8454049|Quonset Point, RI
South Carolina|8661070|Springmaid Pier, SC
South Carolina|8662245|Oyster Landing (N Inlet Estuary), SC
South Carolina|8665530|Charleston, Cooper River Entrance, SC
Texas|8770475|Port Arthur, TX
Texas|8770520|Rainbow Bridge, TX
Texas|8770613|Morgans Point, Barbours Cut, TX
Texas|8770777|Manchester, TX
Texas|8770808|High Island, TX
Texas|8770822|Texas Point, Sabine Pass, TX
Texas|8770971|Rollover Pass, TX
Texas|8771013|Eagle Point, Galveston Bay, TX
Texas|8771341|Galveston Bay Entrance, North Jetty, TX
Texas|8771450|Galveston Pier 21, TX
Texas|8771486|Galveston Railroad Bridge, TX
Texas|8771972|San Luis Pass, TX
Texas|8772471|Freeport Harbor,8772985 Sargent, TX
Texas|8773037|Seadrift, TX
Texas|8773146|Matagorda City, TX
Texas|8773259|Port Lavaca, TX
Texas|8773701|Port O'Connor, TX
Texas|8773767|Matagorda Bay Entrance Channel, TX
Texas|8774230|Aransas Wildlife Refuge, TX
Texas|8774770|Rockport, TX
Texas|8775222|Viola Turning Basin,8775237 Port Aransas, TX
Texas|8775241|Aransas, Aransas Pass, TX
Texas|8775244|Nueces Bay, TX
Texas|8775283|Ingleside, MODA,
Texas|8775296|USS Lexington, Corpus Christi Bay, TX
Texas|8775792|Packery Channel, TX
Texas|8775870|Bob Hall Pier, Corpus Christi, TX
Texas|8776139|S. Bird Island, TX
Texas|8776604|Baffin Bay, TX
Texas|8777812|Rincon Del San Jose, TX
Texas|8778490|Port Mansfield, TX
Texas|8779280|Realitos Peninsula, TX
Texas|8779748|South Padre Island CG Station, TX
Texas|8779749|SPI Brazos Santiago, TX
Texas|8779770|Port Isabel, TX
Virginia|8631044|Wachapreague, VA
Virginia|8632200|Kiptopeke, VA
Virginia|8635027|Dahlgren, VA
Virginia|8635750|Lewisetta, VA
Virginia|8636580|Windmill Point, VA
Virginia|8637689|Yorktown USCG Training Center, VA
Virginia|8638610|Sewells Point, VA
Virginia|8638901|CBBT, Chesapeake Channel, VA
Virginia|8639348|Money Point, VA
Washington|9440083|Vancouver, WA
Washington|9440422|Longview, WA
Washington|9440569|Skamokawa, WA
Washington|9440581|Cape Disappointment, WA
Washington|9440910|Toke Point, WA
Washington|9441102|Westport, WA
Washington|9442396|La Push, Quillayute River, WA
Washington|9443090|Neah Bay, WA
Washington|9444090|Port Angeles, WA
Washington|9444900|Port Townsend, WA
Washington|9445958|Bremerton, WA
Washington|9446484|Tacoma, WA
Washington|9447130|Seattle, WA
Washington|9449424|Cherry Point, WA
Washington|9449880|Friday Harbor, WA
